iter,clusters,valid_nodes,ari_vs_prev,loss
1,7,3639,,1.661217212677002
2,7,3639,0.6954535787599359,1.9541614055633545
3,7,3639,0.5540995702158701,1.6341980695724487
4,7,3639,0.6108458332061136,1.9113976955413818
5,7,3639,0.7042099474094776,2.0179038047790527
6,7,3639,0.546960777474444,1.6208866834640503
7,7,3639,0.5123538294660984,2.0459847450256348
8,7,3639,0.4773976484020481,1.6070373058319092
9,7,3639,0.8823015458945017,1.7937756776809692
10,7,3639,0.875892849733405,1.6902763843536377
11,7,3639,0.422966853468362,2.045863151550293
12,7,3639,0.5626352245587004,1.8945152759552002
13,7,3639,0.5792617941408665,1.7655750513076782
14,7,3639,0.61304371882206,1.8890187740325928
15,7,3639,0.824481626634094,1.9963775873184204
16,7,3639,0.4913740229292388,1.7204818725585938
17,7,3639,0.5990247848276757,1.9127123355865479
18,7,3639,0.7546813749489266,1.7747480869293213
19,7,3639,0.8661278403004641,1.9536679983139038
20,7,3639,0.7111493071876624,1.5683295726776123
